,Sols,elysium2028,elysium2031,oxia2028,oxia2031,mawrth_vallis2028,mawrth_vallis2031,vernal2028,vernal2031,valles2028,valles2031,aram2028,aram2031,meridiani2028,meridiani2031,eberswalde2028,eberswalde2031
47,,3.4641141241861853,3.490621451749908,3.5234388299002064,2.942153735016694,3.442568716385822,2.7399855902067265,3.448209732080903,3.225988183361095,3.1465810142038406,3.542128940978049,3.332548293676863,3.2926908857931347,3.427267342129739,3.4624061902260337,2.700453290878849,3.4101317758147864
48,,3.461278861976873,3.4807603541292624,3.518341273174375,2.928779599627427,3.4357852416746564,2.723574905575342,3.441645689129587,3.2130960178392796,3.1464075186166465,3.5312904528176485,3.3273533098083328,3.2798217507055996,3.4231201249598535,3.45071099827713,2.7000113473499696,3.400009956252311
49,,3.4583879158888653,3.4710730476192952,3.5133359020905974,2.9157600083921285,3.4291035766414044,2.7075098631297596,3.4350525507349134,3.2003698112437577,3.145995582969569,3.5204787120789005,3.322106992114446,3.267113958411169,3.418857844488361,3.439100867972083,2.699275309908529,3.3898243147628064
50,,3.455444982958564,3.4615501027985944,3.5084174808480304,2.9030748035435816,3.42251818545636,2.6917725767493477,3.428433362058505,3.1878021123614624,3.14536017370256,3.509694839385992,3.3168134296514937,3.254560318187805,3.4144884692844224,3.4275732810620023,2.698264256898102,3.379582300761987
51,,3.4524534747838134,3.4521828127306042,3.5035811760869944,2.89070537521241,3.4160239569120767,2.676346516914115,3.421790927917969,3.175386027871593,3.1445151023843803,3.498939851313217,3.31147639251788,3.2421541774718654,3.4100193498217446,3.4161258968643415,2.6969957889457237,3.369290761489583
52,,3.44948399421822,3.4425336509450526,3.4985532005098947,2.8779868631161754,3.409333410668239,2.6606424017953176,3.415071447261027,3.162749274476686,3.1436833449878625,3.487842059047403,3.3061331821842344,3.2294662230499322,3.4055238681798534,3.404453232563498,2.695894127023161,3.3587554233007064
53,,3.446536792383254,3.4326175936205146,3.4933442628262954,2.8649364385791873,3.402457017628658,2.6446728334785075,3.4082775881077443,3.14990270742507,3.142860717893259,3.476414130496601,3.300784673187703,3.2165087864481063,3.401001329863653,3.392564630876292,2.694948157434622,3.3479839081127105
54,,3.443647110572372,3.4224485417483916,3.487679461537312,2.8515700572733484,3.3951091679338017,2.628449610296281,3.401331356618638,3.1368564451888004,3.142219474597321,3.464667941978684,3.295436749293626,3.2032933848444323,3.396487361044653,3.380468829551293,2.6945201894841024,3.3369834280287707
55,,3.440814393766011,3.4120394170366195,3.481583237966916,2.8379025675178577,3.387314035011052,2.6119837968545454,3.394236845717067,3.1236199345823983,3.1417424889064827,3.4526146473643493,3.290089557139055,3.1898307927900746,3.391976432428181,3.36817401450932,2.6945773988106367,3.3257608199112285
56,,3.438038114064162,3.401402247718759,3.4750783201045943,2.823947807180388,3.3790941077447147,2.595285786709272,3.3869979100075236,3.1102020090336895,3.141413895230501,3.440264739957295,3.2847432349497883,3.1761311063906863,3.387463451888306,3.3556878673987156,2.695089307267053,3.3143225763394306
